ID,Title,Category,MITRE_ID,MITRE_Name,Severity,Confidence,Splunk,QRadar,Data_Source_Windows,Data_Source_Cloud,Rule_IDs,Pack
UC-001,VSS Shadow Copy Deletion,Ransomware,T1490,Inhibit System Recovery,Critical,97,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-730001 SP-730002,backup-resilience
UC-002,Backup Service Kill Chain,Ransomware,T1489,Service Stop,Critical,95,Yes,Yes,Windows Security 4688 / System 7036,,SP-730003 SP-730004,backup-resilience
UC-003,Boot Recovery Disabled via BCDEdit,Ransomware,T1490,Inhibit System Recovery,Critical,98,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-730005 SP-730006,backup-resilience
UC-004,Ransom Note File Drop,Ransomware,T1486,Data Encrypted for Impact,Critical,96,Yes,Yes,Sysmon 11,,SP-730010 SP-730011,backup-resilience
UC-005,Ransomware Precursor Kill Chain (Correlation),Ransomware,T1490+T1489,Multi-Stage,Critical,99,Yes,Yes,Windows Security 4688 / Sysmon 1 11 13,,SP-810019,correlation
UC-006,LSASS Memory Dump via ProcDump,Credential Theft,T1003.001,OS Credential Dumping: LSASS Memory,Critical,96,Yes,Yes,Windows Security 4688 / Sysmon 1 10,,SP-200001 SP-200002,credential_access
UC-007,Mimikatz Execution,Credential Theft,T1003,OS Credential Dumping,Critical,97,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-200003 SP-200004,credential_access
UC-008,DCSync Attack,Credential Theft,T1003.006,OS Credential Dumping: DCSync,Critical,94,Yes,Yes,Windows Security 4662 (DC) / Sysmon 1,,SP-200005,credential_access
UC-009,Kerberoasting - GetUserSPNs,Credential Theft,T1558.003,Steal or Forge Kerberos Tickets: Kerberoasting,High,85,Yes,Yes,Windows Security 4769 (DC) / Sysmon 1,,SP-200007 SP-200008,credential_access
UC-010,NTDS.dit Extraction,Credential Theft,T1003.003,OS Credential Dumping: NTDS,Critical,95,Yes,Yes,Windows Security 4688 / Sysmon 1 11,,SP-200009 SP-200010,credential_access
UC-011,SAM/SECURITY Hive Dump via Reg,Credential Theft,T1003.002,OS Credential Dumping: SAM,Critical,96,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-200011,credential_access
UC-012,PsExec Lateral Movement,Lateral Movement,T1570,Lateral Tool Transfer,High,88,Yes,Yes,Windows Security 4688 7045 / Sysmon 1 17,,SP-300001 SP-300002,lateral_movement
UC-013,WMI Remote Execution,Lateral Movement,T1047,Windows Management Instrumentation,High,82,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-300003 SP-300004,lateral_movement
UC-014,RDP Lateral Movement,Lateral Movement,T1021.001,Remote Services: RDP,High,75,Yes,Yes,Windows Security 4624 4625 4778,,SP-300005 SP-300006,lateral_movement
